name,mean,std,rank,type,votes,url
飙马野郎 JOJO的奇妙冒险 第一赛段,7.532,1.093,849,Anime,2066,https://bangumi.tv/subject/551918
夏之锁,6.72,1.239,5358,Game,1413,https://bangumi.tv/subject/166756
金牌得主 第二季,7.733,0.89,492,Anime,5231,https://bangumi.tv/subject/548818
星之终途,7.488,1.149,1448,Game,2980,https://bangumi.tv/subject/317675
G弦上的魔王,7.861,1.123,586,Game,4441,https://bangumi.tv/subject/1385
人狼村之谜,8.163,0.996,273,Game,5064,https://bangumi.tv/subject/215470
明日方舟：终末地,5.345,1.978,9924,Game,808,https://bangumi.tv/subject/374638
比宇宙更远的地方,8.166,1.191,147,Anime,15359,https://bangumi.tv/subject/218708
异度侵入,7.485,1.045,932,Anime,15280,https://bangumi.tv/subject/285776
快要坏掉的八音盒,7.258,1.13,1590,Anime,2949,https://bangumi.tv/subject/3806
超时空辉夜姬！,8.09,1.264,181,Anime,19157,https://bangumi.tv/subject/604826
BOW AND ARROW,7.466,1.521,3892,Music,311,https://bangumi.tv/subject/534543
星のダイアローグ,7.273,0.998,5083,Music,143,https://bangumi.tv/subject/251672
魔女之旅,7.197,1.172,1796,Anime,16388,https://bangumi.tv/subject/292970
More One Night,7.874,0.943,1605,Music,277,https://bangumi.tv/subject/228592
only my railgun,8.16,1.222,584,Music,1303,https://bangumi.tv/subject/3227
花之塔,8.054,1.151,886,Music,518,https://bangumi.tv/subject/423479
青春コンプレックス,7.431,1.116,4128,Music,348,https://bangumi.tv/subject/400957
君へ(TVアニメ「真夜中ぱんチ」第4話エンディングテーマ),7.25,1.09,4843,Music,44,https://bangumi.tv/subject/505794
Distortion!!,7.216,1.27,5521,Music,255,https://bangumi.tv/subject/404443
なにが悪い,7.297,1.252,4991,Music,209,https://bangumi.tv/subject/409027
星座になれたら,8.086,1.169,821,Music,360,https://bangumi.tv/subject/412529
リリィ,7.224,0.948,5096,Music,58,https://bangumi.tv/subject/589821
リテラチュア,7.152,1.302,5757,Music,138,https://bangumi.tv/subject/311987
リリィ (Another ver.),6.692,0.606,0,Music,13,https://bangumi.tv/subject/614884
我们不可能成为恋人！绝对不行。 (※似乎可行？) 〜再次闪耀！〜,7.325,1.065,1349,Anime,5457,https://bangumi.tv/subject/587454
对我垂涎欲滴的非人少女,6.78,1.152,3598,Anime,3714,https://bangumi.tv/subject/520842
我们不可能成为恋人！绝对不行。 (※似乎可行？),7.453,1.145,1017,Anime,10661,https://bangumi.tv/subject/524707
夢浮橋-ユメノウキハシ-,8.026,1.038,1571,Music,38,https://bangumi.tv/subject/473926
POPIGENIC,8.368,1.086,0,Music,19,https://bangumi.tv/subject/537449
终焉之森2,5.095,1.191,8704,Game,21,https://bangumi.tv/subject/519041
Drive Your Heart,6.667,0.471,0,Music,3,https://bangumi.tv/subject/603354
AURA ～魔龙院光牙最后的战斗～,6.786,1.233,3556,Anime,1681,https://bangumi.tv/subject/43310
终焉之森 -Forest of soul slave-,4.917,1.288,9160,Game,24,https://bangumi.tv/subject/519040
彼方的阿斯特拉,7.383,1.064,1184,Anime,3299,https://bangumi.tv/subject/273877
东京喰种,6.769,1.339,3680,Anime,13839,https://bangumi.tv/subject/93714
秽翼的尤斯蒂娅,8.337,1.037,157,Game,7675,https://bangumi.tv/subject/12280
时钟机关的Ley-line-阳炎中彷徨的魔女-,7.479,0.978,0,Game,399,https://bangumi.tv/subject/207413
时钟机关的Ley-line-残影之夜将明时-,7.781,0.909,729,Game,1418,https://bangumi.tv/subject/49533
时钟机关的Ley-line-黄昏时刻的境界线-,6.695,0.963,5510,Game,1500,https://bangumi.tv/subject/41155
美好的每一天 ～不连续的存在～全语音HD版,8.801,1.654,0,Game,1033,https://bangumi.tv/subject/259061
国王游戏,2.688,1.839,10059,Anime,1967,https://bangumi.tv/subject/221119
电影 Love Live! 虹咲学园校园偶像同好会 完结篇 第2章,7.323,1.214,1489,Anime,266,https://bangumi.tv/subject/442615
琉璃的宝石,8.083,1.073,184,Anime,8558,https://bangumi.tv/subject/512190
夏日口袋,7.178,1.357,1872,Anime,7597,https://bangumi.tv/subject/363957
时钟机关的Ley-line-朝雾中飘零之花-,7.839,0.944,632,Game,1446,https://bangumi.tv/subject/106118
魔法少女的魔女审判,7.312,1.241,2113,Game,3994,https://bangumi.tv/subject/488392
ライムライト・レモネードジャム,6.937,1.435,4063,Game,1513,https://bangumi.tv/subject/561526
Aqours Documentary,7.909,0.996,0,Real,11,https://bangumi.tv/subject/567012
只有我不存在的城市,7.628,1.078,659,Anime,14027,https://bangumi.tv/subject/137722
章鱼哔的原罪,6.821,1.523,3408,Anime,10248,https://bangumi.tv/subject/527620
Animelo Summer Live 2025 “ThanXX!”,8.5,1.118,0,Real,6,https://bangumi.tv/subject/564090
治愈男性的机器人,6.48,1.287,6370,Game,125,https://bangumi.tv/subject/289773
9-nine-天色天歌天籁音,7.186,1.047,2711,Game,4612,https://bangumi.tv/subject/222145
9-nine-春色春恋春熙风,6.882,0.978,4414,Game,3898,https://bangumi.tv/subject/256657
往欄印,6.684,1.489,0,Music,19,https://bangumi.tv/subject/565040
9-nine-九次九日九重色,6.382,1.053,7539,Game,4700,https://bangumi.tv/subject/189739
苍之彼方的四重奏 EXTRA2,8.264,1.029,187,Game,1933,https://bangumi.tv/subject/308808
MyGO!!!!! ZEPP TOUR 2025「心のはしを辿って」,7.667,0.471,0,Real,3,https://bangumi.tv/subject/569749
夏日口袋 REFLECTION BLUE,8.394,1.173,0,Game,4570,https://bangumi.tv/subject/295957
9-nine-雪色雪花雪之痕,7.659,1.012,973,Game,4094,https://bangumi.tv/subject/290856
苍之彼方的四重奏 EXTRA1,7.168,1.048,2813,Game,1551,https://bangumi.tv/subject/206156
青空下的加缪,7.07,1.413,3340,Game,2027,https://bangumi.tv/subject/257527
苍之彼方的四重奏,7.802,1.063,683,Game,4213,https://bangumi.tv/subject/76912
苍之彼方的四重奏,5.838,1.408,8294,Anime,2525,https://bangumi.tv/subject/117601
星之梦,7.936,1.127,480,Game,4256,https://bangumi.tv/subject/859
现在就想告诉哥哥，我是妹妹！,6.794,1.205,4823,Game,470,https://bangumi.tv/subject/27513
Root Double -Before Crime  After Days-,7.729,1.122,853,Game,539,https://bangumi.tv/subject/27914
LUNARiA -Virtualized Moonchild-,6.694,1.234,5474,Game,633,https://bangumi.tv/subject/317674
神明的选择,5.917,1.277,9109,Game,504,https://bangumi.tv/subject/548299
BanG Dream! It's MyGO!!!!! 雨中祈晴,7.776,1.359,1555,Book,98,https://bangumi.tv/subject/530066
痴情哥哥与病弱妹妹的乡间生活,6.685,1.091,5585,Game,1279,https://bangumi.tv/subject/470980
变身,7.317,1.47,3292,Book,788,https://bangumi.tv/subject/185870
BanG Dream! Ave Mujica -manuscriptus-,4.067,1.948,0,Book,15,https://bangumi.tv/subject/520010
聿日箋秋,6.982,1.249,6178,Music,57,https://bangumi.tv/subject/548186
MyGO!!!!!×Ave Mujica 合同ライブ「わかれ道の、その先へ」,7.794,2.087,604,Real,63,https://bangumi.tv/subject/505568
孤独摇滚！,7.449,1.376,2548,Book,778,https://bangumi.tv/subject/241088
心理测量者,7.925,1.103,283,Anime,14375,https://bangumi.tv/subject/37685
狂赌之渊,7.035,1.019,2459,Anime,8453,https://bangumi.tv/subject/209408
金牌得主,8.02,0.962,225,Anime,12814,https://bangumi.tv/subject/430699
恋爱小行星,6.946,1.063,2817,Anime,4935,https://bangumi.tv/subject/276150
BanG Dream! Ave Mujica,4.062,2.083,9985,Anime,20796,https://bangumi.tv/subject/454684
KiLLKiSS,7.497,1.452,3707,Music,326,https://bangumi.tv/subject/520341
ATRI -My Dear Moments- (2),7.333,0.471,0,Book,3,https://bangumi.tv/subject/471548
悠久之翼,7.927,1.19,284,Anime,6871,https://bangumi.tv/subject/799
恋语Amrilato,7.195,1.077,2681,Game,257,https://bangumi.tv/subject/216929
不知何时的Memoraĵo,7.367,1.08,2035,Game,90,https://bangumi.tv/subject/250639
Love Live! Superstar!! 第三季,6.074,1.407,7408,Anime,1520,https://bangumi.tv/subject/404480
跡暖空,6.339,1.569,7476,Music,59,https://bangumi.tv/subject/515757
关于我被小学女生绑架这件事,4.265,1.544,10184,Game,211,https://bangumi.tv/subject/216313
三原色,6.597,1.689,7200,Music,62,https://bangumi.tv/subject/339963
米塔,7.122,1.115,3070,Game,1521,https://bangumi.tv/subject/445334
怪物 / 優しい彗星,7.381,1.42,4422,Music,210,https://bangumi.tv/subject/323742
Poppin’on!,7.556,0.875,3406,Music,27,https://bangumi.tv/subject/265269
Dreamers Go!/Returns,8.0,1.102,1319,Music,84,https://bangumi.tv/subject/279220
Breakthrough!,7.5,1.466,3630,Music,40,https://bangumi.tv/subject/302253
Live Beyond!!,6.29,1.223,7303,Music,31,https://bangumi.tv/subject/334008
夏に閉じこめて,6.778,1.685,0,Music,9,https://bangumi.tv/subject/390352
ぽっぴん'どりーむ！,7.462,1.184,3745,Music,26,https://bangumi.tv/subject/352819
青春 To Be Continued,7.273,1.286,0,Music,11,https://bangumi.tv/subject/438228
新しい季節に,6.364,1.666,0,Music,11,https://bangumi.tv/subject/463890
剑风传奇,6.85,1.31,3237,Anime,1650,https://bangumi.tv/subject/162040
MyGO!!!!! ZEPP TOUR 2024「彷徨する渇望」,7.364,0.771,0,Real,11,https://bangumi.tv/subject/492671
ATRI -My Dear Moments- (1),7.2,1.939,0,Book,5,https://bangumi.tv/subject/452200
剑风传奇,8.06,1.141,207,Anime,2803,https://bangumi.tv/subject/696
月刊少女野崎君,7.791,0.977,418,Anime,21748,https://bangumi.tv/subject/100449
MyGO!!!!! 6th LIVE「見つけた景色、たずさえて」,8.704,1.571,120,Real,54,https://bangumi.tv/subject/492657
BanG Dream! 12th☆LIVE DAY2 : MyGO!!!!!「ちいさな一瞬」,7.667,1.491,0,Real,6,https://bangumi.tv/subject/492673
杀戮天使,6.38,1.216,6034,Anime,7944,https://bangumi.tv/subject/220566
别当欧尼酱了！,7.586,1.116,717,Anime,18136,https://bangumi.tv/subject/378862
命运石之门,8.892,1.066,11,Game,8121,https://bangumi.tv/subject/3154
败犬女主太多了！,7.966,1.17,259,Anime,26695,https://bangumi.tv/subject/464376
命运石之门 0,7.931,1.171,493,Game,3054,https://bangumi.tv/subject/129820
剧场版 BanG Dream! It's MyGO!!!!! 后篇 歌唱着，由我们所作的歌 & FILM LIVE,6.97,1.428,2690,Anime,362,https://bangumi.tv/subject/473833
亚托莉 -我挚爱的时光-,6.309,1.163,6434,Anime,5438,https://bangumi.tv/subject/397604
神待少女纱波,6.608,1.054,6032,Game,696,https://bangumi.tv/subject/237277
沙耶之歌,7.569,1.36,1184,Game,7289,https://bangumi.tv/subject/851
深夜重拳,7.321,0.997,1368,Anime,6981,https://bangumi.tv/subject/477207
心跳文学部！,6.812,1.351,4804,Game,2929,https://bangumi.tv/subject/228086
内心往事,6.615,0.965,5745,Game,187,https://bangumi.tv/subject/332175
程序员升职记,7.211,1.03,2614,Game,114,https://bangumi.tv/subject/182787
锈湖：旅馆,7.211,0.966,2587,Game,394,https://bangumi.tv/subject/169553
植物大战僵尸,8.18,1.111,257,Game,3947,https://bangumi.tv/subject/1859
艾希,6.447,1.148,7070,Game,919,https://bangumi.tv/subject/198346
饥荒,7.333,1.11,2039,Game,973,https://bangumi.tv/subject/62665
Mirror 2: Project X,3.388,2.372,10217,Game,417,https://bangumi.tv/subject/360620
与奴隶的生活 -Teaching Feeling-,6.348,1.361,7661,Game,1330,https://bangumi.tv/subject/151833
濒死的骑士、于异世界中响彻的绝唱,5.791,1.475,9400,Game,659,https://bangumi.tv/subject/476513
真爱的百合被染成红色,5.391,1.589,9905,Game,1023,https://bangumi.tv/subject/287133
SaDistic BlooD,5.939,1.439,9079,Game,660,https://bangumi.tv/subject/292518
妹调教日记,4.81,1.866,10147,Game,2257,https://bangumi.tv/subject/23604
兰斯10 决战,9.293,1.469,2,Game,3467,https://bangumi.tv/subject/226254
多娜多娜 一起干坏事吧,7.409,1.125,1728,Game,3057,https://bangumi.tv/subject/297734
星空列车与白的旅行,7.454,1.127,1552,Game,3329,https://bangumi.tv/subject/304421
RIDDLE JOKER,6.542,1.178,6593,Game,4239,https://bangumi.tv/subject/231798
魔女的夜宴,7.154,1.117,2895,Game,5539,https://bangumi.tv/subject/113290
千恋＊万花,6.853,1.223,4588,Game,7070,https://bangumi.tv/subject/172612
逝去的你、于馆中萌生的憎恶,6.204,1.356,8335,Game,2176,https://bangumi.tv/subject/178431
剧场版 BanG Dream! It's MyGO!!!!! 前篇 春日向阳，迷途野猫,6.823,1.421,3294,Anime,440,https://bangumi.tv/subject/473832
灰色的迷宫,7.194,1.047,1811,Anime,4285,https://bangumi.tv/subject/121187
灰色的乐园,7.324,1.088,1362,Anime,4727,https://bangumi.tv/subject/130234
学园孤岛,6.931,1.074,2885,Anime,8971,https://bangumi.tv/subject/106693
灰色的果实,7.079,1.159,2256,Anime,5567,https://bangumi.tv/subject/67376
电影 Love Live! 虹咲学园校园偶像同好会 完结篇 第1章,6.735,1.16,3745,Anime,653,https://bangumi.tv/subject/442614
来自深渊 烈日的黄金乡,8.295,1.178,92,Anime,13163,https://bangumi.tv/subject/298477
来自深渊,8.234,1.044,114,Anime,18516,https://bangumi.tv/subject/203526
来自深渊 深沉灵魂的黎明,7.946,1.051,270,Anime,10734,https://bangumi.tv/subject/230914
Happy Sugar Life,6.625,1.577,4562,Anime,4533,https://bangumi.tv/subject/240828
狼的孩子雨和雪,7.966,1.08,262,Anime,7925,https://bangumi.tv/subject/28440
剧场总集篇孤独摇滚！ Re:Re:,7.488,1.036,957,Anime,2043,https://bangumi.tv/subject/459642
不死少女 杀人笑剧,7.236,0.953,1663,Anime,5953,https://bangumi.tv/subject/425591
烟花,5.954,1.421,7880,Anime,6707,https://bangumi.tv/subject/200704
蟑螂娘,5.416,1.287,9105,Anime,582,https://bangumi.tv/subject/49057
胜者即是正义,8.386,0.922,97,Real,3380,https://bangumi.tv/subject/37566
逃避虽可耻但有用,7.584,1.106,763,Real,1301,https://bangumi.tv/subject/188108
我是大哥大！！,7.695,1.143,578,Real,859,https://bangumi.tv/subject/254821
卖房子的女人,7.16,0.895,1636,Real,156,https://bangumi.tv/subject/181855
Trace～科搜研的男人,5.696,1.12,2990,Real,23,https://bangumi.tv/subject/265500
民王,7.315,1.019,1299,Real,355,https://bangumi.tv/subject/139201
非自然死亡,8.361,1.002,103,Real,3047,https://bangumi.tv/subject/225581
半泽直树2,8.291,0.938,132,Real,1769,https://bangumi.tv/subject/108596
半泽直树,8.287,0.941,131,Real,3349,https://bangumi.tv/subject/73955
喵斯快跑,6.986,0.986,3766,Game,1236,https://bangumi.tv/subject/241623
我的世界,8.854,1.235,13,Game,5100,https://bangumi.tv/subject/12596
求生之路2,7.667,1.004,964,Game,1821,https://bangumi.tv/subject/2037
泰拉瑞亚,8.32,1.236,166,Game,2143,https://bangumi.tv/subject/17852
冷面天使,6.496,1.098,4977,Anime,341,https://bangumi.tv/subject/9387
朋友游戏,5.979,1.326,7796,Anime,2618,https://bangumi.tv/subject/355072
重启咲良田,7.923,1.272,290,Anime,8593,https://bangumi.tv/subject/193378
岸边露伴一动不动 OVA,7.324,0.898,1363,Anime,3847,https://bangumi.tv/subject/289138
空洞骑士,8.336,1.22,158,Game,3100,https://bangumi.tv/subject/209250
雀魂麻将,6.443,1.669,7123,Game,1174,https://bangumi.tv/subject/250372
明日方舟,6.814,1.728,4770,Game,2772,https://bangumi.tv/subject/225878
蔚蓝档案,7.081,1.675,3274,Game,1863,https://bangumi.tv/subject/300648
你画我猜,5.821,1.763,9171,Game,212,https://bangumi.tv/subject/341182
音击,8.073,1.126,627,Game,55,https://bangumi.tv/subject/246033
碧蓝航线,6.627,1.648,5975,Game,1224,https://bangumi.tv/subject/208559
舞萌DX,7.605,1.659,1162,Game,195,https://bangumi.tv/subject/287346
GINKA,5.838,1.3,9348,Game,1564,https://bangumi.tv/subject/402654
Malody,7.452,1.174,1667,Game,168,https://bangumi.tv/subject/176295
传送门2,8.687,1.057,36,Game,2844,https://bangumi.tv/subject/15912
osu!,8.138,1.305,291,Game,3053,https://bangumi.tv/subject/2227
我和她的世界末日,5.27,1.457,9942,Game,374,https://bangumi.tv/subject/196074
梦末,6.277,1.362,7836,Game,376,https://bangumi.tv/subject/285687
茸雪,5.735,1.754,9463,Game,456,https://bangumi.tv/subject/276053
