name,mean,std,subject_id
琉璃的宝石,8.132,1.08,512190
夏日口袋,7.202,1.367,363957
章鱼哔的原罪,6.867,1.528,527620
AURA ～魔龙院光牙最后的战斗～,6.789,1.238,43310
彼方的阿斯特拉,7.389,1.073,273877
苍之彼方的四重奏,5.852,1.405,117601
国王游戏,2.707,1.852,221119
电影 Love Live! 虹咲学园校园偶像同好会 完结篇 第2章,7.419,1.908,442615
东京喰种,6.747,1.348,93714
只有我不存在的城市,7.635,1.076,137722
金牌得主,8.006,0.974,430699
心理测量者,7.92,1.106,37685
狂赌之渊,7.034,1.021,209408
BanG Dream! Ave Mujica,4.065,2.099,454684
悠久之翼,7.936,1.192,799
剑风传奇,8.069,1.138,696
恋爱小行星,6.949,1.065,276150
Love Live! Superstar!! 第三季,6.075,1.424,404480
杀戮天使,6.37,1.216,220566
剑风传奇,6.84,1.311,162040
别当欧尼酱了！,7.585,1.115,378862
败犬女主太多了！,7.973,1.177,464376
深夜重拳,7.331,0.997,477207
剧场版 BanG Dream! It's MyGO!!!!! 后篇 歌唱着，由我们所作的歌 & FILM LIVE,7.015,1.331,473833
月刊少女野崎君,7.79,0.975,100449
剧场版 BanG Dream! It's MyGO!!!!! 前篇 春日向阳，迷途野猫,6.879,1.401,473832
灰色的乐园,7.323,1.087,130234
灰色的迷宫,7.198,1.049,121187
亚托莉 -我挚爱的时光-,6.308,1.159,397604
灰色的果实,7.078,1.155,67376
学园孤岛,6.927,1.072,106693
Happy Sugar Life,6.638,1.582,240828
狼的孩子雨和雪,7.972,1.074,28440
来自深渊 深沉灵魂的黎明,7.945,1.054,230914
来自深渊,8.236,1.042,203526
来自深渊 烈日的黄金乡,8.292,1.183,298477
电影 Love Live! 虹咲学园校园偶像同好会 完结篇 第1章,6.74,1.202,442614
剧场总集篇孤独摇滚！ Re:Re:,7.482,1.035,459642
蟑螂娘,5.439,1.285,49057
烟花,5.964,1.425,200704
不死少女 杀人笑剧,7.249,0.949,425591
岸边露伴一动不动 OVA,7.337,0.892,289138
冷面天使,6.503,1.08,9387
Introduction,6.174,1.049,380513
朝花夕誓——于离别之朝束起约定之花,7.508,1.284,218971
尸体派对 Tortured Souls,6.015,1.487,58957
重启咲良田,7.925,1.285,193378
鬼灭之刃 无限列车篇,7.301,1.075,350764
朋友游戏,5.986,1.333,355072
AIR,7.959,1.284,234
鬼灭之刃 游郭篇,7.29,1.06,328195
玉子市场,7.26,1.117,55113
剧场版 鬼灭之刃 无限列车篇,7.211,1.136,291494
巨虫列岛,4.25,1.674,289856
