name,mean,std,subject_id
终焉之森2,4.944,1.223,519041
秽翼的尤斯蒂娅,8.337,1.042,12280
时钟机关的Ley-line-残影之夜将明时-,7.781,0.911,49533
时钟机关的Ley-line-朝雾中飘零之花-,7.844,0.948,106118
时钟机关的Ley-line-阳炎中彷徨的魔女-,7.486,0.988,207413
终焉之森 -Forest of soul slave-,4.75,1.299,519040
时钟机关的Ley-line-黄昏时刻的境界线-,6.697,0.964,41155
魔法少女的魔女审判,7.385,1.222,488392
ライムライト・レモネードジャム,6.989,1.501,561526
治愈男性的机器人,6.517,1.214,289773
9-nine-春色春恋春熙风,6.891,0.986,256657
9-nine-雪色雪花雪之痕,7.668,1.018,290856
9-nine-天色天歌天籁音,7.201,1.041,222145
9-nine-九次九日九重色,6.389,1.059,189739
美好的每一天 ～不连续的存在～全语音HD版,8.83,1.69,259061
青空下的加缪,7.093,1.401,257527
苍之彼方的四重奏 EXTRA2,8.275,1.035,308808
苍之彼方的四重奏,7.82,1.065,76912
苍之彼方的四重奏 EXTRA1,7.171,1.057,206156
Summer Pockets REFLECTION BLUE,8.407,1.167,295957
星之梦,7.956,1.126,859
Root Double -Before Crime  After Days-,7.746,1.132,27914
现在就想告诉哥哥，我是妹妹！,6.824,1.181,27513
神明的选择,5.982,1.274,548299
LUNARiA -Virtualized Moonchild-,6.698,1.24,317674
痴情哥哥与病弱妹妹的乡间生活,6.73,1.089,470980
恋语Amrilato,7.242,1.039,216929
米塔,7.146,1.095,445334
关于我被小学女生绑架这件事,4.24,1.544,216313
命运石之门,8.89,1.079,3154
心跳文学部！,6.823,1.355,228086
不知何时的Memoraĵo,7.393,1.067,250639
神待少女纱波,6.622,1.047,237277
命运石之门 0,7.934,1.174,129820
沙耶之歌,7.601,1.355,851
内心往事,6.607,0.979,332175
程序员升职记,7.198,1.038,182787
锈湖：旅馆,7.229,0.956,169553
植物大战僵尸,8.167,1.111,1859
饥荒,7.335,1.113,62665
Mirror 2: Project X,3.424,2.387,360620
与奴隶的生活 -Teaching Feeling-,6.331,1.36,151833
濒死的骑士、于异世界中响彻的绝唱,5.878,1.438,476513
艾希,6.432,1.142,198346
SaDistic BlooD,5.97,1.45,292518
妹调教日记,4.837,1.87,23604
兰斯10 决战,9.292,1.469,226254
真爱的百合被染成红色,5.419,1.594,287133
多娜多娜 一起干坏事吧,7.403,1.122,297734
星空列车与白的旅行,7.477,1.121,304421
千恋＊万花,6.87,1.218,172612
魔女的夜宴,7.161,1.117,113290
RIDDLE JOKER,6.548,1.179,231798
逝去的你、于馆中萌生的憎恶,6.232,1.359,178431
你画我猜,5.833,1.766,341182
喵斯快跑,6.993,0.997,241623
雀魂麻将,6.47,1.657,250372
我的世界,8.835,1.242,12596
空洞骑士,8.344,1.219,209250
泰拉瑞亚,8.286,1.233,17852
明日方舟,6.81,1.731,225878
蔚蓝档案,7.088,1.68,300648
求生之路2,7.667,1.006,2037
舞萌DX,7.676,1.567,287346
碧蓝航线,6.637,1.656,208559
传送门2,8.687,1.061,15912
GINKA,5.851,1.306,402654
音击,8.096,1.148,246033
osu!,8.138,1.308,2227
梦末,6.151,1.536,285687
Malody,7.453,1.18,176295
BanG Dream! 少女乐团派对！,7.308,1.232,208415
茸雪,5.678,1.837,276053
我和她的世界末日,5.3,1.456,196074
水仙,8.452,1.088,1167
水仙2,8.185,1.084,1168
亚托莉 -我挚爱的时光-,7.119,1.2,297264
Remember11：无限轮回的时光,8.854,1.299,1127
可塑性记忆,7.513,1.298,183217
PARQUET,5.687,1.488,344272
时空轮回,9.082,1.191,1126
Angel Beats! 1st beat,7.254,1.38,84520
